wut,x1,birch,0,Base,120 x 2,120 x 2,"cf: [[ 0 50  0]
 [ 0  0 40]
 [30  0  0]] ",nca: 1.0 ,r: 1.0 ,ar: 1.0 ,fm: 1.0 ,mi: 1.0775563270668007 ,nmi: 1.0 ,ami: 1.0 ,a: 0.0 
wut,x1,minibatchkmeans,0,Base,120 x 2,120 x 2,"cf: [[ 0 50  0]
 [40  0  0]
 [ 0  0 30]] ",nca: 1.0 ,r: 1.0 ,ar: 1.0 ,fm: 1.0 ,mi: 1.0775563270668007 ,nmi: 1.0 ,ami: 1.0 ,a: 0.25 
wut,x1,latentdirichletallocation,0,Base,120 x 2,120 x 2,"cf: [[36  0 14]
 [32  8  0]
 [30  0  0]] ",nca: 0.24 ,r: 0.44649859943977593 ,ar: 0.007563223824155046 ,fm: 0.4872599639518131 ,mi: 0.18271748718479902 ,nmi: 0.2182824022123988 ,ami: 0.20072160793464577 ,a: 0.36666666666666664 
wut,x1,spectralcoclustering,0,Base,120 x 2,120 x 2,"cf: [[18 32  0]
 [19 21  0]
 [15 13  2]] ",nca: 0.09083333333333332 ,r: 0.5120448179271708 ,ar: 0.015535658880368779 ,fm: 0.4170939739349464 ,mi: 0.03416266583039461 ,nmi: 0.03719438180011529 ,ami: 0.016873720848730334 ,a: 0.3416666666666667 
wut,x1,bayesiangaussianmixture,0,Base,120 x 2,120 x 2,"cf: [[ 0 50  0]
 [40  0  0]
 [ 0  0 30]] ",nca: 1.0 ,r: 1.0 ,ar: 1.0 ,fm: 1.0 ,mi: 1.0775563270668007 ,nmi: 1.0 ,ami: 1.0 ,a: 0.25 
wut,x2,genie,0,UMAP_local,120 x 2,120 x 2,"cf: [[12 37  1]
 [40  0  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.35 
wut,x2,kmeans,0,UMAP_local,120 x 2,120 x 2,"cf: [[37 12  1]
 [ 0 40  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.8916666666666667 
wut,x2,agglomerative,0,UMAP_local,120 x 2,120 x 2,"cf: [[12 37  1]
 [40  0  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.35 
wut,x2,spectral,0,UMAP_local,120 x 2,120 x 2,"cf: [[ 1 12 37]
 [ 0 40  0]
 [30  0  0]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.3416666666666667 
wut,x2,gaussianmixture,0,UMAP_local,120 x 2,120 x 2,"cf: [[37 12  1]
 [ 0 40  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.8916666666666667 
