Collection,Dataset,Clustering Method,Label,Embedding,Original Dimensions,Embedding Dimensions,CF,NCA Score,R,AR,FM,MI,NMI,AMI,A
fcps,atom,genie,0,TFIDF,800 x 3,800 x 500,"cf: [[400   0]
 [264 136]] ",nca: 0.3400000000000001 ,r: 0.5572465581977472 ,ar: 0.11497483328649173 ,fm: 0.6466078504849931 ,mi: 0.1353684740867807 ,nmi: 0.23562147948399967 ,ami: 0.2347858326629345 ,a: 0.67 
fcps,atom,kmeans,0,TFIDF,800 x 3,800 x 500,"cf: [[ 44 356]
 [239 161]] ",nca: 0.48750000000000004 ,r: 0.6183510638297872 ,ar: 0.23678275909156324 ,fm: 0.6341229498769517 ,mi: 0.13947335255489735 ,nmi: 0.20772205955139617 ,ami: 0.20698233180430167 ,a: 0.25625 
fcps,atom,agglomerative,0,TFIDF,800 x 3,800 x 500,"cf: [[400   0]
 [180 220]] ",nca: 0.55 ,r: 0.6508135168961201 ,ar: 0.30180311387147996 ,fm: 0.6855106213838523 ,mi: 0.2440993704973959 ,nmi: 0.3810135493742967 ,ami: 0.38040757661355046 ,a: 0.775 
fcps,atom,spectral,0,TFIDF,800 x 3,800 x 500,"cf: [[398   2]
 [162 238]] ",nca: 0.5899999999999999 ,r: 0.6736420525657071 ,ar: 0.347413927032174 ,fm: 0.6994246385963595 ,mi: 0.25763127882914016 ,nmi: 0.3951365187560021 ,ami: 0.39455478110021935 ,a: 0.795 
fcps,atom,gaussianmixture,0,TFIDF,800 x 3,800 x 500,"cf: [[372  28]
 [169 231]] ",nca: 0.5075000000000001 ,r: 0.6283135168961201 ,ar: 0.2567416018187206 ,fm: 0.6507873513883833 ,mi: 0.16230132579859935 ,nmi: 0.24538852699268668 ,ami: 0.24467317854597442 ,a: 0.75375 
fcps,atom,hdbscan,0,TFIDF,800 x 3,800 x 500,"cf: [[  0   0   2 ...   2  23 190]
 [  3   3   0 ...   0   0 189]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]] ",nca: nan ,r: 0.5046370463078849 ,ar: 0.008601265637663748 ,fm: 0.34442950832863845 ,mi: 0.3475282001704056 ,nmi: 0.1923558402292976 ,ami: 0.16121239841238297 ,a: 0.00375 
fcps,atom,kmodes,0,TFIDF,800 x 3,800 x 500,"cf: [[399   1]
 [400   0]] ",nca: 0.0024999999999999467 ,r: 0.4993773466833542 ,ar: 0.0 ,fm: 0.7057802648330319 ,mi: 0.0008672162036881485 ,nmi: 0.0024680570151263234 ,ami: 1.6610608852869483e-16 ,a: 0.49875 
fcps,atom,birch,0,TFIDF,800 x 3,800 x 500,"cf: [[176 224]
 [225 175]] ",nca: 0.12250000000000005 ,r: 0.5068867334167709 ,ar: 0.013771929716698545 ,fm: 0.5062703437670716 ,mi: 0.007522051792273887 ,nmi: 0.010852051280862345 ,ami: 0.009957665967208002 ,a: 0.43875 
fcps,atom,minibatchkmeans,0,TFIDF,800 x 3,800 x 500,"cf: [[337  63]
 [156 244]] ",nca: 0.4525000000000001 ,r: 0.6018804755944931 ,ar: 0.2038136373421885 ,fm: 0.6121105896088583 ,mi: 0.11374560316190199 ,nmi: 0.16739389941621816 ,ami: 0.1666258257349013 ,a: 0.72625 
fcps,atom,kmedoids,0,TFIDF,800 x 3,800 x 500,"cf: [[194 206]
 [157 243]] ",nca: 0.09250000000000003 ,r: 0.5036576971214017 ,ar: 0.007332506223782556 ,fm: 0.5067600597682729 ,mi: 0.004349999019427342 ,nmi: 0.0063099597225627765 ,ami: 0.005406528591910137 ,a: 0.54625 
fcps,atom,latentdirichletallocation,0,TFIDF,800 x 3,800 x 500,"cf: [[177 223]
 [226 174]] ",nca: 0.12250000000000005 ,r: 0.5068867334167709 ,ar: 0.01377199151043293 ,fm: 0.5062827177937814 ,mi: 0.007522432688334746 ,nmi: 0.010852796517385558 ,ami: 0.009958395620800673 ,a: 0.43875 
fcps,atom,spectralcoclustering,0,TFIDF,800 x 3,800 x 500,"cf: [[384  16]
 [107 293]] ",nca: 0.6924999999999999 ,r: 0.7394524405506884 ,ar: 0.4789378596145405 ,fm: 0.745961185919606 ,mi: 0.2926908032729897 ,nmi: 0.4303680786162455 ,ami: 0.42984305307799003 ,a: 0.84625 
fcps,atom,bayesiangaussianmixture,0,TFIDF,800 x 3,800 x 500,"cf: [[374  26]
 [175 225]] ",nca: 0.49750000000000005 ,r: 0.623282227784731 ,ar: 0.24669426018741838 ,fm: 0.6487115507296635 ,mi: 0.1591566581141861 ,nmi: 0.24202369718187688 ,ami: 0.2413009703174084 ,a: 0.74875 
fcps,atom,genie,0,CountVectorizer,800 x 3,800 x 500,"cf: [[304  96]
 [274 126]] ",nca: 0.07499999999999996 ,r: 0.5021902377972466 ,ar: 0.004625919739653578 ,fm: 0.5488158061620947 ,mi: 0.00351517326787093 ,nmi: 0.0054765257569827025 ,ami: 0.004504756483226957 ,a: 0.5375 
fcps,atom,kmeans,0,CountVectorizer,800 x 3,800 x 500,"cf: [[117 283]
 [195 205]] ",nca: 0.19500000000000006 ,r: 0.5184105131414268 ,ar: 0.03687793246625142 ,fm: 0.5293767652645327 ,mi: 0.020143267303424917 ,nmi: 0.029581228139086875 ,ami: 0.028687930806840324 ,a: 0.4025 
fcps,atom,agglomerative,0,CountVectorizer,800 x 3,800 x 500,"cf: [[153 247]
 [179 221]] ",nca: 0.06499999999999995 ,r: 0.5014893617021277 ,ar: 0.0030132680658557605 ,fm: 0.5080437934000306 ,mi: 0.0021771370991190975 ,nmi: 0.0031741922351038124 ,ami: 0.0022632490051667916 ,a: 0.4675 
fcps,atom,spectral,0,CountVectorizer,800 x 3,800 x 500,"cf: [[316  84]
 [217 183]] ",nca: 0.24750000000000005 ,r: 0.530040675844806 ,ar: 0.06021007944787474 ,fm: 0.554924272479755 ,mi: 0.03505909482407152 ,nmi: 0.05272243452271015 ,ami: 0.05182930883512956 ,a: 0.62375 
fcps,atom,gaussianmixture,0,CountVectorizer,800 x 3,800 x 500,"cf: [[297 103]
 [221 179]] ",nca: 0.18999999999999995 ,r: 0.5174468085106383 ,ar: 0.034997342551709824 ,fm: 0.5375070021934849 ,mi: 0.01995540280746025 ,nmi: 0.029736965955763875 ,ami: 0.028830543276603705 ,a: 0.595 
fcps,atom,hdbscan,0,CountVectorizer,800 x 3,800 x 500,"cf: [[  3   0   3 ...   2   6 196]
 [  1  12   0 ...   0   0 179]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]] ",nca: nan ,r: 0.5035982478097623 ,ar: 0.006506965224289401 ,fm: 0.33837820488449066 ,mi: 0.3383941473826311 ,nmi: 0.18040587407059544 ,ami: 0.14335703442407796 ,a: 0.01875 
fcps,atom,kmodes,0,CountVectorizer,800 x 3,800 x 500,"cf: [[399   1]
 [400   0]] ",nca: 0.0024999999999999467 ,r: 0.4993773466833542 ,ar: 0.0 ,fm: 0.7057802648330319 ,mi: 0.0008672162036881485 ,nmi: 0.0024680570151263234 ,ami: 1.6610608852869483e-16 ,a: 0.49875 
fcps,atom,birch,0,CountVectorizer,800 x 3,800 x 500,"cf: [[ 11 389]
 [174 226]] ",nca: 0.4075 ,r: 0.5825062578222778 ,ar: 0.16531339589814073 ,fm: 0.6400018830307961 ,mi: 0.13547495834334963 ,nmi: 0.21958297902952761 ,ami: 0.2187892939914606 ,a: 0.29625 
fcps,atom,minibatchkmeans,0,CountVectorizer,800 x 3,800 x 500,"cf: [[145 255]
 [197 203]] ",nca: 0.1299999999999999 ,r: 0.5078347934918648 ,ar: 0.015693978739469927 ,fm: 0.512385102597709 ,mi: 0.00865866377687119 ,nmi: 0.01258760249993577 ,ami: 0.011687887204156111 ,a: 0.435 
fcps,atom,kmedoids,0,CountVectorizer,800 x 3,800 x 500,"cf: [[283 117]
 [184 216]] ",nca: 0.24750000000000005 ,r: 0.530040675844806 ,ar: 0.06011292413129366 ,fm: 0.5360289843971632 ,mi: 0.031893337271624383 ,nmi: 0.04648497269734938 ,ami: 0.0456138814541898 ,a: 0.62375 
fcps,atom,latentdirichletallocation,0,CountVectorizer,800 x 3,800 x 500,"cf: [[212 188]
 [169 231]] ",nca: 0.10749999999999993 ,r: 0.5051595744680851 ,ar: 0.010320396885469332 ,fm: 0.505099505236879 ,mi: 0.005802525340423026 ,nmi: 0.008378094943129525 ,ami: 0.007480738436932625 ,a: 0.55375 
