Collection,Dataset,Clustering Method,Label,Embedding,Original Dimensions,Embedding Dimensions,CF,NCA Score,R,AR,FM,MI,NMI,AMI,A
fcps,atom,genie,0,TFIDF,800 x 3,800 x 500,"cf: [[113 287]
 [186 214]] ",nca: 0.1825000000000001 ,r: 0.5160481852315394 ,ar: 0.03217217897558169 ,fm: 0.5307022341777916 ,mi: 0.017924284154326647 ,nmi: 0.026474707103403165 ,ami: 0.025573326262459135 ,a: 0.40875 
fcps,atom,kmeans,0,TFIDF,800 x 3,800 x 500,"cf: [[ 67 333]
 [218 182]] ",nca: 0.37749999999999995 ,r: 0.5707165206508135 ,ar: 0.14152061708833807 ,fm: 0.5877436343545542 ,mi: 0.08073421203530878 ,nmi: 0.12010648842937482 ,ami: 0.1192858767306154 ,a: 0.31125 
fcps,atom,agglomerative,0,TFIDF,800 x 3,800 x 500,"cf: [[273 127]
 [260 140]] ",nca: 0.03249999999999997 ,r: 0.4999030037546934 ,ar: -5.700964564832493e-05 ,fm: 0.5262937588340054 ,mi: 0.0005939460872118607 ,nmi: 0.0008931857439612754 ,ami: -4.880633203524199e-05 ,a: 0.51625 
fcps,atom,spectral,0,TFIDF,800 x 3,800 x 500,"cf: [[398   2]
 [260 140]] ",nca: 0.345 ,r: 0.5589612015018773 ,ar: 0.11838063996774113 ,fm: 0.6442692867585806 ,mi: 0.12811851643773037 ,nmi: 0.22075534627657817 ,ami: 0.21991216722289086 ,a: 0.6725 
fcps,atom,gaussianmixture,0,TFIDF,800 x 3,800 x 500,"cf: [[ 37 363]
 [215 185]] ",nca: 0.44499999999999984 ,r: 0.5985106382978723 ,ar: 0.19715774950387585 ,fm: 0.6251116506359881 ,mi: 0.12373494055059933 ,nmi: 0.18801985151573436 ,ami: 0.18724621099162683 ,a: 0.2775 
fcps,atom,hdbscan,0,TFIDF,800 x 3,800 x 500,"cf: [[  0   0   0 ...   6   4 112]
 [  2   2   2 ...   0   0 116]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]] ",nca: nan ,r: 0.5037609511889862 ,ar: 0.006490219409357199 ,fm: 0.21406852530352777 ,mi: 0.42872705683159384 ,nmi: 0.18259722508610737 ,ami: 0.14473118903646623 ,a: 0.0025 
fcps,atom,kmodes,0,TFIDF,800 x 3,800 x 500,"cf: [[400   0]
 [399   1]] ",nca: 0.0024999999999999467 ,r: 0.4993773466833542 ,ar: 0.0 ,fm: 0.7057802648330319 ,mi: 0.0008672162036881485 ,nmi: 0.0024680570151263234 ,ami: 1.6610608852869483e-16 ,a: 0.50125 
fcps,atom,birch,0,TFIDF,800 x 3,800 x 500,"cf: [[390  10]
 [263 137]] ",nca: 0.3174999999999999 ,r: 0.5498404255319149 ,ar: 0.10013056659275504 ,fm: 0.6334620161565363 ,mi: 0.09723908157919704 ,nmi: 0.16619514222187481 ,ami: 0.16530032464911687 ,a: 0.65875 
fcps,atom,minibatchkmeans,0,TFIDF,800 x 3,800 x 500,"cf: [[296 104]
 [170 230]] ",nca: 0.31499999999999995 ,r: 0.5490488110137672 ,ar: 0.09812697806143142 ,fm: 0.5546126889666738 ,mi: 0.05201646829086429 ,nmi: 0.07579153819970735 ,ami: 0.07494748036028913 ,a: 0.6575 
fcps,atom,kmedoids,0,TFIDF,800 x 3,800 x 500,"cf: [[147 253]
 [239 161]] ",nca: 0.22999999999999998 ,r: 0.5258573216520651 ,ar: 0.0517146135959879 ,fm: 0.5255545830444754 ,mi: 0.026722536561897103 ,nmi: 0.038569515448635336 ,ami: 0.03769980680708638 ,a: 0.385 
